Emp_no,Employee_Number,Attrition,Business_Travel,Age,CF_age_band,CF_attrition_label,Department,Education_Field,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,CF_current_Employee,Distance_From_Home,Education_level,Environment_Satisfaction,Daily_Rate,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Standard_Hours2,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
STAFF-1060,1060,No,Frequently,38,35 - 44,Current Employees,R&D,Other,Male,Research Scientist,Married,No,Y,2,1,3,Master's Degree,3,1186,44,3,1,3,2821,2997,3,16,3,1,55,71,1,8,3,2,2,2,2
STAFF-1061,1061,No,Rarely,50,45 - 54,Current Employees,R&D,Medical,Male,Research Director,Married,Yes,Y,2,1,2,Master's Degree,2,1464,62,3,5,3,19237,12853,2,11,3,4,55,87,1,29,2,8,1,7,7
STAFF-1062,1062,No,Rarely,37,35 - 44,Current Employees,R&D,Other,Female,Healthcare Representative,Single,No,Y,3,1,3,Bachelor's Degree,4,124,35,3,2,2,4107,13848,3,15,3,1,75,67,0,8,2,4,3,0,1
STAFF-1066,1066,No,Rarely,40,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,3,1,26,Bachelor's Degree,3,300,74,3,2,1,8396,22217,1,14,3,2,80,45,1,8,2,7,7,7,5
STAFF-1068,1068,No,Frequently,26,25 - 34,Current Employees,R&D,Medical,Female,Research Scientist,Divorced,No,Y,5,1,1,High School,1,921,66,2,1,3,2007,25265,1,13,3,3,85,84,2,5,3,5,3,1,3
STAFF-1069,1069,No,Rarely,46,45 - 54,Current Employees,R&D,Medical,Male,Research Director,Divorced,No,Y,0,1,1,Master's Degree,4,430,40,3,5,4,19627,21445,9,17,3,4,55,41,2,23,3,2,2,2,2
STAFF-1070,1070,No,Rarely,54,45 - 54,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,4,1,2,Master's Degree,3,1082,41,2,3,3,10686,8392,6,11,3,2,65,49,1,13,3,9,4,7,0
STAFF-1071,1071,No,Frequently,56,Over 55,Current Employees,R&D,Medical,Female,Research Scientist,Married,No,Y,4,1,9,Bachelor's Degree,1,1240,63,3,1,3,2942,12154,2,19,3,2,80,70,1,18,3,5,4,0,3
STAFF-1073,1073,No,Rarely,36,35 - 44,Current Employees,R&D,Medical,Female,Manufacturing Director,Single,No,Y,2,1,12,Doctoral Degree,4,796,51,2,3,4,8858,15669,0,11,3,2,80,54,0,15,2,14,8,7,8
STAFF-1074,1074,No,No,55,Over 55,Current Employees,R&D,Medical,Male,Manager,Single,No,Y,3,1,2,High School,3,444,40,2,4,1,16756,17323,7,15,3,2,70,60,0,31,4,9,7,6,2
STAFF-1076,1076,No,Rarely,43,35 - 44,Current Employees,Sales,Medical,Male,Sales Executive,Divorced,No,Y,5,1,25,Bachelor's Degree,3,415,79,2,3,4,10798,5268,5,13,3,3,55,76,1,18,3,1,0,0,0
STAFF-1077,1077,Yes,Frequently,20,Under 25,Ex-Employees,Sales,Marketing,Female,Sales Representative,Single,Yes,Y,3,0,9,Bachelor's Degree,4,769,54,3,1,4,2323,17205,1,14,3,2,50,84,0,2,3,2,2,0,2
STAFF-1079,1079,Yes,Rarely,21,Under 25,Ex-Employees,R&D,Life Sciences,Female,Laboratory Technician,Single,No,Y,6,0,10,Bachelor's Degree,3,1334,36,2,1,1,1416,17258,1,13,3,1,55,40,0,1,2,1,0,1,0
STAFF-1080,1080,No,Rarely,46,45 - 54,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,Yes,Y,2,1,8,Master's Degree,4,1003,74,2,2,1,4615,21029,8,23,4,1,55,87,3,19,3,16,13,1,7
STAFF-1081,1081,Yes,Rarely,51,45 - 54,Ex-Employees,R&D,Life Sciences,Male,Research Scientist,Married,Yes,Y,2,0,4,Master's Degree,1,1323,34,3,1,3,2461,10332,9,12,3,3,65,83,3,18,4,10,0,2,7
STAFF-1082,1082,Yes,No,28,25 - 34,Ex-Employees,R&D,Technical Degree,Male,Healthcare Representative,Single,No,Y,2,0,24,Associates Degree,2,1366,72,2,3,1,8722,12355,1,12,3,1,50,36,0,10,2,10,7,1,9
STAFF-1083,1083,No,Rarely,26,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,2,1,1,Associates Degree,1,192,59,2,1,1,3955,11141,1,16,3,1,65,83,2,6,3,5,3,1,3
STAFF-1084,1084,No,Rarely,30,25 - 34,Current Employees,R&D,Other,Male,Manufacturing Director,Married,No,Y,1,1,20,Bachelor's Degree,3,1176,85,3,2,1,9957,9096,0,15,3,3,60,73,1,7,2,6,2,0,2
STAFF-1085,1085,No,Rarely,41,35 - 44,Current Employees,R&D,Technical Degree,Female,Research Scientist,Married,No,Y,3,1,7,Associates Degree,2,509,43,4,1,3,3376,18863,1,13,3,3,50,88,0,10,3,10,6,0,8
STAFF-1088,1088,No,Rarely,38,35 - 44,Current Employees,R&D,Life Sciences,Female,Healthcare Representative,Married,No,Y,4,1,17,High School,3,330,65,2,3,3,8823,24608,0,18,3,1,80,78,1,20,2,19,9,1,9
STAFF-1092,1092,No,Rarely,40,35 - 44,Current Employees,R&D,Technical Degree,Male,Healthcare Representative,Married,No,Y,6,1,20,Master's Degree,1,1492,61,3,3,4,10322,26542,4,20,4,4,60,53,1,14,3,11,10,11,1
STAFF-1094,1094,No,No,27,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,4,1,8,Doctoral Degree,1,1277,87,1,1,3,4621,5869,1,19,3,4,55,59,3,3,3,3,2,1,2
STAFF-1096,1096,No,Frequently,55,Over 55,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Married,No,Y,4,1,2,High School,4,1091,65,3,3,2,10976,15813,3,18,3,2,85,41,1,23,3,3,2,1,2
STAFF-1097,1097,No,Rarely,28,25 - 34,Current Employees,R&D,Other,Female,Research Scientist,Single,No,Y,4,1,10,Bachelor's Degree,3,857,59,3,2,3,3660,7909,3,13,3,4,55,90,0,10,4,8,7,1,7
STAFF-1098,1098,Yes,Rarely,44,35 - 44,Ex-Employees,HR,Medical,Male,Human Resources,Married,No,Y,1,0,1,Associates Degree,2,1376,91,2,3,1,10482,2326,9,14,3,4,70,31,1,24,3,20,6,3,6
STAFF-1099,1099,No,Rarely,33,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,2,1,5,Bachelor's Degree,4,654,34,2,3,4,7119,21214,4,15,3,3,70,87,1,9,3,3,2,1,2
STAFF-1100,1100,Yes,Rarely,35,35 - 44,Ex-Employees,Sales,Technical Degree,Male,Sales Executive,Single,Yes,Y,2,0,4,Bachelor's Degree,4,1204,86,3,3,1,9582,10333,0,22,4,1,50,35,0,9,3,8,7,4,7
STAFF-1101,1101,Yes,Frequently,33,25 - 34,Ex-Employees,R&D,Medical,Female,Research Scientist,Single,No,Y,4,0,29,Master's Degree,1,827,54,2,2,3,4508,3129,1,22,4,2,70,37,0,14,3,13,7,3,8
STAFF-1102,1102,No,Rarely,28,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,5,1,15,Associates Degree,1,895,50,3,1,3,2207,22482,1,16,3,4,60,70,1,4,2,4,2,2,2
STAFF-1103,1103,No,Frequently,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Single,No,Y,1,1,3,High School,1,618,45,3,2,4,7756,22266,0,17,3,3,60,72,0,7,2,6,2,0,4
STAFF-1105,1105,No,Rarely,37,35 - 44,Current Employees,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,Y,5,1,10,Master's Degree,4,309,88,2,2,4,6694,24223,2,14,3,3,85,74,3,8,3,1,0,0,0
STAFF-1106,1106,Yes,Rarely,25,25 - 34,Ex-Employees,R&D,Technical Degree,Male,Laboratory Technician,Married,Yes,Y,3,0,4,High School,4,1219,32,3,1,4,3691,4605,1,15,3,2,55,62,1,7,4,7,7,5,6
STAFF-1107,1107,Yes,Rarely,26,25 - 34,Ex-Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,0,0,21,Bachelor's Degree,1,1330,37,3,1,3,2377,19373,1,20,4,3,55,56,1,1,2,1,1,0,0
STAFF-1108,1108,Yes,Rarely,33,25 - 34,Ex-Employees,R&D,Medical,Male,Research Scientist,Single,Yes,Y,0,0,25,Bachelor's Degree,1,1017,55,2,1,2,2313,2993,4,20,4,2,60,31,0,5,3,2,2,2,2
STAFF-1109,1109,No,Rarely,42,35 - 44,Current Employees,R&D,Medical,Male,Manager,Married,No,Y,3,1,2,Associates Degree,4,469,35,3,4,1,17665,14399,0,17,3,4,75,45,1,23,3,22,6,13,7
STAFF-1111,1111,Yes,Frequently,28,25 - 34,Ex-Employees,R&D,Medical,Male,Laboratory Technician,Divorced,No,Y,2,0,1,Bachelor's Degree,1,1009,45,2,1,2,2596,7160,1,15,3,1,85,80,2,1,3,1,0,0,0
STAFF-1113,1113,Yes,Frequently,50,45 - 54,Ex-Employees,Sales,Other,Male,Sales Executive,Single,Yes,Y,4,0,1,Master's Degree,4,959,81,3,2,3,4728,17251,3,14,3,4,75,37,0,5,3,0,0,0,0
STAFF-1114,1114,No,Frequently,33,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,3,1,7,Bachelor's Degree,4,970,30,3,2,2,4302,13401,0,17,3,3,85,88,1,4,3,3,2,0,2
STAFF-1115,1115,No,No,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,2,1,3,Master's Degree,3,697,40,2,1,4,2979,22478,3,17,3,4,65,74,3,6,3,0,0,0,0
STAFF-1116,1116,No,No,48,45 - 54,Current Employees,R&D,Medical,Male,Manager,Single,No,Y,3,1,1,Master's Degree,1,1262,35,4,4,4,16885,16154,2,22,4,3,50,83,0,27,2,5,4,2,1
STAFF-1117,1117,No,No,45,45 - 54,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,2,1,9,Master's Degree,2,1050,65,2,2,3,5593,17970,1,13,3,4,70,76,1,15,3,15,10,4,12
STAFF-1118,1118,No,Rarely,52,45 - 54,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Single,No,Y,4,1,7,Master's Degree,2,994,87,3,3,2,10445,15322,7,19,3,4,65,47,0,18,3,8,6,4,0
STAFF-1119,1119,No,Rarely,38,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Divorced,Yes,Y,2,1,10,Master's Degree,3,770,73,2,3,3,8740,5569,0,14,3,2,80,67,2,9,3,8,7,2,7
STAFF-1120,1120,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,No,Y,1,1,28,Master's Degree,3,1107,93,3,1,4,2514,26968,4,22,4,1,85,50,1,11,3,7,5,1,7
STAFF-1121,1121,No,Rarely,28,25 - 34,Current Employees,R&D,Medical,Female,Manufacturing Director,Divorced,No,Y,3,1,3,Bachelor's Degree,4,950,93,3,3,2,7655,8039,0,17,3,2,75,30,3,10,2,9,7,1,7
STAFF-1124,1124,No,Rarely,46,45 - 54,Current Employees,Sales,Marketing,Male,Manager,Married,No,Y,3,1,3,High School,1,406,52,3,4,3,17465,15596,3,12,3,4,50,39,1,23,3,12,9,4,9
STAFF-1125,1125,No,Rarely,38,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Single,No,Y,2,1,2,Associates Degree,4,130,32,3,3,2,7351,20619,7,16,3,3,65,30,0,10,3,1,0,0,0
STAFF-1126,1126,No,Frequently,43,35 - 44,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Married,No,Y,1,1,27,Bachelor's Degree,3,1082,83,3,3,1,10820,11535,8,11,3,3,50,89,1,18,3,8,7,0,1
STAFF-1127,1127,Yes,Frequently,39,35 - 44,Ex-Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,4,0,2,Bachelor's Degree,1,203,84,3,4,4,12169,13547,7,11,3,4,55,39,3,21,3,18,7,11,5
STAFF-1128,1128,No,Rarely,40,35 - 44,Current Employees,R&D,Medical,Male,Research Director,Single,No,Y,2,1,14,Bachelor's Degree,3,1308,44,2,5,3,19626,17544,1,14,3,1,60,66,0,21,4,20,7,4,9
STAFF-1131,1131,No,Rarely,21,Under 25,Current Employees,R&D,Technical Degree,Female,Research Scientist,Single,Yes,Y,6,1,1,High School,4,984,70,2,1,2,2070,25326,1,11,3,3,60,73,0,2,4,2,2,2,2
STAFF-1132,1132,No,No,39,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,2,1,9,Bachelor's Degree,3,439,70,3,2,2,6782,8770,9,15,3,3,55,34,0,9,2,5,4,0,3
STAFF-1133,1133,No,No,36,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,0,1,18,Master's Degree,1,217,78,3,2,4,7779,23238,2,20,4,1,65,67,0,18,3,11,9,0,9
STAFF-1135,1135,No,Frequently,31,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Representative,Married,No,Y,4,1,20,Bachelor's Degree,3,793,67,4,1,4,2791,21981,0,12,3,1,55,47,1,3,3,2,2,2,2
STAFF-1136,1136,No,Rarely,28,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,2,1,2,High School,1,1451,67,2,1,2,3201,19911,0,17,3,1,70,66,0,6,1,5,3,0,4
STAFF-1137,1137,No,Frequently,35,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Divorced,No,Y,3,1,11,Associates Degree,4,1182,54,3,2,4,4968,18500,1,11,3,4,65,76,1,5,3,5,2,0,2
STAFF-1138,1138,No,Rarely,49,45 - 54,Current Employees,Sales,Technical Degree,Male,Sales Executive,Married,No,Y,3,1,8,Master's Degree,4,174,56,2,4,2,13120,11879,6,17,3,2,70,32,1,22,3,9,8,2,3
STAFF-1140,1140,No,Frequently,34,25 - 34,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,3,1,2,Associates Degree,4,1003,95,3,2,3,4033,15834,2,11,3,4,70,52,0,5,2,3,2,0,2
STAFF-1143,1143,No,Frequently,29,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Divorced,No,Y,2,1,10,Bachelor's Degree,4,490,61,3,1,2,3291,17940,0,14,3,4,75,46,2,8,2,7,5,1,1
STAFF-1148,1148,No,Rarely,42,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,3,1,29,Bachelor's Degree,2,188,56,1,2,4,4272,9558,4,19,3,1,75,43,0,16,3,1,0,0,0
STAFF-1150,1150,No,Rarely,29,25 - 34,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,Yes,Y,2,1,8,High School,2,718,79,2,2,4,5056,17689,1,15,3,3,75,40,1,10,2,10,7,1,2
STAFF-1152,1152,No,Rarely,38,35 - 44,Current Employees,HR,Human Resources,Male,Human Resources,Married,No,Y,2,1,1,Bachelor's Degree,3,433,37,4,1,3,2844,6004,1,13,3,4,60,88,1,7,4,7,6,5,0
STAFF-1154,1154,No,Frequently,28,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,Yes,Y,2,1,6,Bachelor's Degree,3,773,39,2,1,3,2703,22088,1,14,3,4,80,63,1,3,3,3,1,0,2
STAFF-1156,1156,Yes,No,18,Under 25,Ex-Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,0,0,8,High School,3,247,80,3,1,3,1904,13556,1,12,3,4,55,89,0,0,3,0,0,0,0
STAFF-1157,1157,Yes,Rarely,33,25 - 34,Ex-Employees,Sales,Marketing,Female,Sales Executive,Single,Yes,Y,3,0,9,Master's Degree,1,603,77,3,2,1,8224,18385,0,17,3,1,60,75,0,6,3,5,2,0,3
STAFF-1158,1158,No,Rarely,41,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,Yes,Y,4,1,12,Master's Degree,2,167,46,3,1,4,4766,9051,3,11,3,1,80,57,1,6,3,1,0,0,0
STAFF-1160,1160,Yes,Frequently,31,25 - 34,Ex-Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,5,0,15,Bachelor's Degree,3,874,72,3,1,3,2610,6233,1,12,3,3,55,46,1,2,2,2,2,2,2
STAFF-1161,1161,No,Rarely,37,35 - 44,Current Employees,R&D,Medical,Female,Healthcare Representative,Divorced,No,Y,2,1,25,Associates Degree,3,367,52,2,2,4,5731,17171,7,13,3,3,75,32,2,9,3,6,2,1,3
STAFF-1162,1162,No,Rarely,27,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,0,1,6,Bachelor's Degree,4,199,55,2,1,3,2539,7950,1,13,3,3,75,32,1,4,3,4,2,2,2
STAFF-1163,1163,No,Rarely,34,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,3,1,9,High School,2,1400,70,3,2,3,5714,5829,1,20,4,1,50,60,0,6,2,6,5,1,3
STAFF-1164,1164,No,Rarely,35,35 - 44,Current Employees,HR,Technical Degree,Male,Human Resources,Single,No,Y,2,1,8,Master's Degree,3,528,100,3,1,3,4323,7108,1,17,3,2,60,48,0,6,1,5,4,1,4
STAFF-1165,1165,Yes,Rarely,29,25 - 34,Ex-Employees,Sales,Life Sciences,Female,Sales Executive,Married,No,Y,3,0,23,High School,4,408,45,2,3,1,7336,11162,1,13,3,1,70,64,1,11,1,11,8,3,10
STAFF-1166,1166,No,Frequently,40,35 - 44,Current Employees,R&D,Medical,Female,Research Director,Single,No,Y,3,1,9,Master's Degree,2,593,88,3,3,3,13499,13782,9,17,3,3,85,37,0,20,2,18,7,2,13
STAFF-1167,1167,Yes,Frequently,42,35 - 44,Ex-Employees,Sales,Life Sciences,Male,Sales Executive,Single,Yes,Y,2,0,12,Bachelor's Degree,3,481,44,3,4,1,13758,2447,0,12,3,2,85,44,0,22,2,21,9,13,14
STAFF-1171,1171,No,Rarely,42,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Single,No,Y,3,1,4,Master's Degree,2,647,45,3,2,1,5155,2253,7,13,3,4,50,60,0,9,4,6,4,1,5
STAFF-1172,1172,No,Rarely,35,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,2,1,1,Master's Degree,4,982,58,2,1,3,2258,16340,6,12,3,2,85,51,1,10,3,8,0,1,7
STAFF-1173,1173,No,Rarely,24,Under 25,Current Employees,R&D,Medical,Male,Laboratory Technician,Single,No,Y,2,1,24,Bachelor's Degree,4,477,49,3,1,2,3597,6409,8,22,4,4,75,89,0,6,3,4,3,1,2
STAFF-1175,1175,Yes,Rarely,28,25 - 34,Ex-Employees,R&D,Life Sciences,Female,Laboratory Technician,Married,Yes,Y,4,0,12,High School,3,1485,79,3,1,4,2515,22955,1,11,3,4,70,40,0,1,2,1,1,0,0
STAFF-1177,1177,No,Rarely,26,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,2,1,3,Master's Degree,1,1384,82,4,1,4,4420,13421,1,22,4,2,75,70,1,8,3,8,7,0,7
STAFF-1179,1179,No,Rarely,30,25 - 34,Current Employees,Sales,Marketing,Male,Sales Executive,Married,No,Y,3,1,10,Bachelor's Degree,3,852,72,2,2,3,6578,2706,1,18,3,1,55,69,1,10,3,10,3,1,4
STAFF-1180,1180,No,Frequently,40,35 - 44,Current Employees,R&D,Medical,Female,Research Scientist,Married,Yes,Y,3,1,26,Associates Degree,3,902,92,2,2,4,4422,21203,3,13,3,4,70,34,1,16,1,1,1,0,0
STAFF-1182,1182,No,Rarely,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,Y,2,1,2,Bachelor's Degree,3,819,44,2,3,2,10274,19588,2,18,3,2,60,85,1,15,4,7,7,6,4
STAFF-1184,1184,No,Frequently,34,25 - 34,Current Employees,R&D,Medical,Male,Healthcare Representative,Single,No,Y,3,1,1,Bachelor's Degree,4,669,97,2,2,1,5343,25755,0,20,4,3,75,50,0,14,3,13,9,4,9
STAFF-1185,1185,No,Frequently,35,35 - 44,Current Employees,R&D,Other,Male,Laboratory Technician,Married,No,Y,2,1,4,Master's Degree,4,636,47,2,1,4,2376,26537,1,13,3,2,75,31,1,2,4,2,2,2,2
STAFF-1188,1188,Yes,Rarely,43,35 - 44,Ex-Employees,Sales,Marketing,Female,Sales Executive,Single,No,Y,2,0,9,Bachelor's Degree,1,1372,85,1,2,3,5346,9489,8,13,3,2,70,42,0,7,2,4,3,1,3
STAFF-1190,1190,No,No,32,25 - 34,Current Employees,Sales,Life Sciences,Female,Sales Representative,Divorced,No,Y,3,1,2,High School,3,862,76,3,1,1,2827,14947,1,12,3,3,75,85,3,1,3,1,0,0,0
STAFF-1191,1191,No,Rarely,56,Over 55,Current Employees,R&D,Technical Degree,Female,Manager,Divorced,No,Y,2,1,4,Master's Degree,4,718,92,3,5,1,19943,18575,4,13,3,4,50,76,1,28,3,5,2,4,2
STAFF-1192,1192,No,Rarely,29,25 - 34,Current Employees,R&D,Medical,Female,Laboratory Technician,Married,No,Y,5,1,6,High School,2,1401,54,3,1,4,3131,26342,1,13,3,1,55,39,1,10,3,10,8,0,8
STAFF-1193,1193,No,Rarely,19,Under 25,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,4,1,9,Associates Degree,3,645,54,3,1,1,2552,7172,1,25,4,3,60,72,0,1,3,1,1,0,0
STAFF-1195,1195,No,Rarely,45,45 - 54,Current Employees,R&D,Medical,Female,Research Scientist,Married,Yes,Y,2,1,7,Bachelor's Degree,1,1457,83,3,1,3,4477,20100,4,19,3,3,75,39,1,7,2,3,2,0,2
STAFF-1196,1196,No,Rarely,37,35 - 44,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Married,No,Y,2,1,1,Bachelor's Degree,4,977,56,2,2,4,6474,9961,1,13,3,2,75,51,1,14,2,14,8,3,11
STAFF-1198,1198,No,Rarely,20,Under 25,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,No,Y,2,1,3,Bachelor's Degree,1,805,87,2,1,3,3033,12828,1,12,3,1,60,67,0,2,2,2,2,1,2
STAFF-1200,1200,Yes,Rarely,44,35 - 44,Ex-Employees,R&D,Life Sciences,Male,Research Scientist,Single,Yes,Y,4,0,10,Master's Degree,3,1097,96,3,1,3,2936,10826,1,11,3,3,50,44,0,6,3,6,4,0,2
STAFF-1201,1201,No,Rarely,53,45 - 54,Current Employees,R&D,Medical,Female,Manager,Divorced,No,Y,6,1,7,Associates Degree,4,1223,50,3,5,3,18606,18640,3,18,3,2,70,37,1,26,3,7,7,4,7
STAFF-1202,1202,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Scientist,Married,Yes,Y,2,1,15,High School,2,942,69,1,1,4,2168,26933,0,18,3,1,50,34,1,6,2,5,4,1,3
STAFF-1203,1203,Yes,Frequently,22,Under 25,Ex-Employees,R&D,Life Sciences,Male,Research Scientist,Married,Yes,Y,5,0,3,Master's Degree,3,1256,48,2,1,4,2853,4223,0,11,3,2,85,74,1,1,3,0,0,0,0
STAFF-1204,1204,No,Rarely,46,45 - 54,Current Employees,Sales,Marketing,Female,Manager,Married,No,Y,2,1,2,Bachelor's Degree,3,1402,69,3,4,1,17048,24097,8,23,4,1,65,60,0,28,3,26,15,15,9
STAFF-1206,1206,No,No,44,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,3,1,17,Bachelor's Degree,4,111,74,1,1,3,2290,4279,2,13,3,4,50,72,0,6,3,0,0,0,0
STAFF-1207,1207,No,Rarely,33,25 - 34,Current Employees,HR,Human Resources,Male,Human Resources,Married,No,Y,2,1,2,Bachelor's Degree,2,147,99,3,1,3,3600,8429,1,13,3,4,85,55,1,5,3,5,4,1,4
STAFF-1210,1210,Yes,No,41,35 - 44,Ex-Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,2,0,5,Associates Degree,1,906,95,2,1,1,2107,20293,6,17,3,1,60,65,1,5,1,1,0,0,0
STAFF-1211,1211,No,Rarely,30,25 - 34,Current Employees,Sales,Life Sciences,Male,Sales Executive,Divorced,No,Y,3,1,29,Master's Degree,3,1329,61,3,2,1,4115,13192,8,19,3,3,55,61,3,8,3,4,3,0,3
STAFF-1212,1212,No,Frequently,40,35 - 44,Current Employees,Sales,Medical,Male,Sales Executive,Married,No,Y,2,1,2,Master's Degree,2,1184,62,3,2,2,4327,25440,5,12,3,4,50,36,3,5,3,0,0,0,0
STAFF-1215,1215,No,Frequently,50,45 - 54,Current Employees,R&D,Medical,Female,Manager,Married,No,Y,3,1,2,Bachelor's Degree,4,1421,30,3,4,1,17856,9490,2,22,4,3,70,82,1,32,3,2,2,2,2
STAFF-1216,1216,No,Rarely,28,25 - 34,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,2,1,19,Master's Degree,4,1179,78,2,1,1,3196,12449,1,12,3,3,65,45,3,6,3,6,5,3,3
STAFF-1217,1217,No,Rarely,46,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Director,Married,No,Y,2,1,15,Associates Degree,4,1450,52,3,5,2,19081,10849,5,11,3,1,85,35,1,25,3,4,2,0,3
STAFF-1218,1218,No,Rarely,35,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Married,Yes,Y,2,1,17,Master's Degree,3,1361,94,3,2,1,8966,21026,3,15,3,4,80,81,3,15,3,7,7,1,7
STAFF-1219,1219,Yes,Rarely,24,Under 25,Ex-Employees,R&D,Life Sciences,Female,Laboratory Technician,Married,No,Y,3,0,17,Associates Degree,4,984,97,3,1,2,2210,3372,1,13,3,1,80,49,1,1,1,1,0,0,0
STAFF-1220,1220,No,Frequently,33,25 - 34,Current Employees,Sales,Medical,Female,Sales Executive,Married,No,Y,3,1,25,Bachelor's Degree,2,1146,82,3,2,3,4539,4905,1,12,3,1,70,77,1,10,2,10,7,0,1
STAFF-1221,1221,No,Rarely,36,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,4,1,6,Master's Degree,3,917,60,1,1,3,2741,6865,1,14,3,3,70,88,1,7,3,7,7,1,7
STAFF-1224,1224,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,4,1,7,Master's Degree,3,853,49,3,2,3,3491,11309,1,13,3,1,60,82,3,10,2,10,7,8,9
STAFF-1225,1225,No,Rarely,44,35 - 44,Current Employees,R&D,Other,Male,Research Scientist,Single,No,Y,3,1,29,Master's Degree,4,200,32,3,2,4,4541,7744,1,25,4,2,55,79,0,20,3,20,11,13,17
STAFF-1226,1226,No,Rarely,20,Under 25,Current Employees,Sales,Marketing,Male,Sales Representative,Single,No,Y,2,1,21,Bachelor's Degree,3,654,43,4,1,4,2678,5050,1,17,3,4,50,65,0,2,3,2,1,2,2
STAFF-1228,1228,No,Rarely,46,45 - 54,Current Employees,R&D,Technical Degree,Male,Manufacturing Director,Divorced,No,Y,3,1,2,Master's Degree,4,150,60,3,2,4,7379,17433,2,11,3,3,85,85,1,12,2,6,3,1,4
STAFF-1231,1231,No,No,42,35 - 44,Current Employees,HR,Medical,Male,Human Resources,Married,No,Y,3,1,2,Doctoral Degree,4,179,79,4,2,1,6272,12858,7,16,3,1,55,42,1,10,4,4,3,0,3
